No,R,I,A,S,E,C,Group
10721,0.405,0.652,0.282,0.502,0.671,0.682,63
10722,0.405,0.422,0.456,0.372,0.347,0.346,28
10723,0.405,0.35,0.504,0.595,0.289,0.299,15
10724,0.405,0.429,0.534,0.596,0.493,0.473,14
10725,0.405,0.34,0.466,0.446,0.395,0.363,15
10726,0.405,0.416,0.608,0.645,0.445,0.377,24
10727,0.405,0.405,0.493,0.532,0.452,0.425,50
10728,0.405,0.362,0.406,0.67,0.815,0.538,48
10729,0.405,0.381,0.458,0.522,0.474,0.493,50
10730,0.405,0.22,0.566,0.46,0.318,0.238,67
10731,0.405,0.552,0.447,0.48,0.508,0.455,14
10732,0.405,0.388,0.561,0.544,0.461,0.525,14
10733,0.405,0.45,0.768,0.866,0.63,0.556,70
10734,0.405,0.141,0.13,0.161,0.091,0.085,1
10735,0.405,0.359,0.427,0.44,0.358,0.372,28
10736,0.405,0.321,0.689,0.444,0.355,0.355,15
10737,0.405,0.182,0.579,0.272,0.354,0.351,67
10738,0.405,0.413,0.469,0.614,0.505,0.48,14
10739,0.405,0.51,0.63,0.583,0.495,0.325,24
10740,0.405,0.42,0.554,0.49,0.394,0.381,50
10741,0.405,0.443,0.42,0.604,0.474,0.527,14
10742,0.405,0.436,0.38,0.476,0.43,0.505,50
10743,0.405,0.285,0.515,0.455,0.375,0.37,15
10744,0.405,0.605,0.9,0.377,0.555,0.501,14
10745,0.405,0.394,0.52,0.543,0.436,0.422,24
10746,0.405,0.278,0.38,0.392,0.342,0.285,28
10747,0.405,0.313,0.521,0.53,0.502,0.366,24
10748,0.405,0.41,0.589,0.479,0.542,0.414,14
10749,0.405,0.313,0.416,0.51,0.334,0.272,15
10750,0.405,0.348,0.622,0.55,0.561,0.479,25
10751,0.405,0.413,0.619,0.603,0.478,0.433,24
10752,0.405,0.389,0.562,0.4,0.318,0.349,28
10753,0.405,0.288,0.363,0.44,0.442,0.671,20
10754,0.405,0.576,0.485,0.517,0.442,0.503,14
10755,0.405,0.237,0.788,0.676,0.441,0.431,10
10756,0.405,0.51,0.701,0.737,0.53,0.496,60
10757,0.405,0.344,0.455,0.369,0.337,0.345,28
10758,0.405,0.372,0.353,0.364,0.395,0.243,28
10759,0.405,0.275,0.679,0.668,0.764,0.567,58
10760,0.405,0.347,0.461,0.549,0.357,0.321,15
10761,0.405,0.29,0.505,0.656,0.453,0.363,24
10762,0.405,0.438,0.382,0.651,0.516,0.478,14
10763,0.405,0.576,0.442,0.531,0.517,0.559,14
10764,0.405,0.555,0.54,0.503,0.634,0.584,66
10765,0.405,0.307,0.569,0.687,0.661,0.573,58
10766,0.405,0.47,0.46,0.454,0.584,0.505,14
10767,0.405,0.338,0.41,0.443,0.351,0.337,28
10768,0.405,0.496,0.695,0.582,0.6,0.505,60
10769,0.405,0.795,0.533,0.845,0.724,0.701,72
10770,0.405,0.396,0.446,0.484,0.486,0.423,50
10771,0.405,0.439,0.554,0.67,0.595,0.569,66
10772,0.405,0.404,0.621,0.749,0.528,0.415,60
10773,0.405,0.518,0.314,0.34,0.535,0.405,50
10774,0.405,0.544,0.431,0.538,0.453,0.573,14
10775,0.405,0.446,0.459,0.548,0.494,0.49,14
10776,0.405,0.405,0.4,0.524,0.48,0.429,50
10777,0.405,0.414,0.386,0.537,0.469,0.47,50
10778,0.405,0.288,0.617,0.64,0.428,0.455,24
10779,0.405,0.29,0.408,0.57,0.404,0.454,24
10780,0.405,0.347,0.572,0.405,0.374,0.346,15
10781,0.405,0.398,0.806,0.64,0.341,0.329,49
10782,0.405,0.396,0.694,0.7,0.493,0.509,60
10783,0.405,0.345,0.583,0.784,0.516,0.568,25
10784,0.405,0.349,0.554,0.568,0.492,0.399,24
10785,0.405,0.344,0.383,0.428,0.429,0.473,50
10786,0.405,0.55,0.521,0.483,0.557,0.602,14
10787,0.405,0.542,0.601,0.293,0.437,0.414,50
10788,0.405,0.413,0.424,0.517,0.591,0.47,14
10789,0.405,0.314,0.567,0.477,0.347,0.329,15
10790,0.405,0.392,0.392,0.455,0.413,0.385,50
10791,0.405,0.245,0.265,0.379,0.273,0.306,29
10792,0.405,0.25,0.4,0.339,0.27,0.276,29
10793,0.405,0.447,0.505,0.526,0.507,0.521,14
10794,0.405,0.303,0.384,0.388,0.307,0.286,28
10795,0.405,0.492,0.516,0.488,0.464,0.403,50
10796,0.405,0.596,0.415,0.424,0.603,0.733,69
10797,0.405,0.444,0.475,0.541,0.468,0.437,50
10798,0.405,0.575,0.597,0.573,0.527,0.378,14
10799,0.405,0.352,0.356,0.302,0.268,0.337,29
10800,0.405,0.378,0.589,0.446,0.342,0.325,15
10801,0.405,0.376,0.713,0.607,0.291,0.202,39
10802,0.405,0.285,0.349,0.366,0.489,0.405,50
10803,0.405,0.591,0.34,0.473,0.5,0.425,14
10804,0.405,0.511,0.733,0.631,0.455,0.507,60
10805,0.405,0.336,0.395,0.422,0.298,0.346,28
10806,0.405,0.241,0.583,0.303,0.299,0.217,67
10807,0.405,0.332,0.52,0.617,0.488,0.369,24
10808,0.406,0.418,0.466,0.494,0.427,0.399,50
10809,0.406,0.408,0.408,0.642,0.502,0.779,62
10810,0.406,0.38,0.482,0.501,0.497,0.573,14
10811,0.406,0.616,0.674,0.501,0.342,0.394,65
10812,0.406,0.403,0.581,0.493,0.562,0.328,24
10813,0.406,0.47,0.712,0.605,0.536,0.595,25
10814,0.406,0.373,0.471,0.581,0.357,0.413,24
10815,0.406,0.514,0.639,0.672,0.647,0.527,66
10816,0.406,0.437,0.43,0.399,0.476,0.456,50
10817,0.406,0.391,0.541,0.549,0.464,0.418,24
10818,0.406,0.422,0.459,0.52,0.446,0.499,50
10819,0.406,0.553,0.532,0.716,0.628,0.724,22
10820,0.406,0.178,0.166,0.276,0.162,0.192,16
10821,0.406,0.419,0.575,0.632,0.464,0.405,24
10822,0.406,0.414,0.459,0.843,0.635,0.333,43
10823,0.406,0.483,0.559,0.594,0.565,0.597,66
10824,0.406,0.776,0.609,0.607,0.465,0.294,65
10825,0.406,0.481,0.602,0.602,0.486,0.426,14
10826,0.406,0.471,0.386,0.555,0.383,0.45,50
10827,0.406,0.269,0.596,0.625,0.56,0.35,24
10828,0.406,0.372,0.673,0.578,0.469,0.475,24
10829,0.406,0.307,0.463,0.462,0.373,0.421,15
10830,0.406,0.561,0.648,0.642,0.617,0.596,66
10831,0.406,0.272,0.451,0.548,0.351,0.341,15
10832,0.406,0.553,0.618,0.502,0.493,0.358,14
10833,0.406,0.378,0.508,0.485,0.484,0.51,14
10834,0.406,0.414,0.375,0.415,0.407,0.425,50
10835,0.406,0.422,0.441,0.538,0.523,0.532,14
10836,0.406,0.368,0.405,0.43,0.408,0.498,50
10837,0.406,0.502,0.515,0.487,0.532,0.472,14
10838,0.406,0.401,0.427,0.493,0.448,0.42,50
10839,0.406,0.514,0.452,0.44,0.431,0.351,50
10840,0.406,0.381,0.388,0.498,0.394,0.454,50
10841,0.406,0.289,0.85,0.504,0.363,0.229,49
10842,0.406,0.408,0.369,0.483,0.292,0.411,28
10843,0.406,0.501,0.1,0.203,0.354,0.187,46
10844,0.406,0.529,0.421,0.502,0.778,0.713,63
10845,0.406,0.199,0.8,0.794,0.553,0.261,71
10846,0.406,0.387,0.653,0.749,0.452,0.367,71
10847,0.406,0.471,0.481,0.558,0.48,0.498,14
10848,0.406,0.337,0.763,0.697,0.513,0.381,71
10849,0.406,0.469,0.421,0.413,0.488,0.445,50
10850,0.406,0.399,0.572,0.495,0.517,0.548,14
10851,0.406,0.383,0.479,0.628,0.636,0.44,25
10852,0.406,0.506,0.557,0.607,0.555,0.593,66
10853,0.406,0.431,0.392,0.41,0.475,0.529,50
10854,0.406,0.347,0.447,0.576,0.62,0.436,25
10855,0.406,0.436,0.504,0.61,0.416,0.49,24
10856,0.406,0.412,0.486,0.218,0.284,0.313,28
10857,0.406,0.446,0.503,0.576,0.598,0.625,66
10858,0.406,0.397,0.539,0.583,0.461,0.398,24
10859,0.406,0.508,0.569,0.567,0.561,0.557,14
10860,0.406,0.388,0.366,0.493,0.444,0.564,50
10861,0.406,0.422,0.49,0.429,0.543,0.423,50
10862,0.406,0.47,0.667,0.79,0.655,0.623,70
10863,0.406,0.483,0.465,0.502,0.484,0.535,14
10864,0.406,0.369,0.436,0.492,0.394,0.417,50
10865,0.406,0.456,0.465,0.482,0.498,0.486,14
10866,0.406,0.501,0.453,0.464,0.57,0.56,14
10867,0.406,0.336,0.666,0.572,0.452,0.482,24
10868,0.406,0.476,0.344,0.612,0.558,0.601,66
10869,0.406,0.363,0.471,0.577,0.455,0.451,24
10870,0.406,0.529,0.6,0.529,0.402,0.466,14
10871,0.406,0.66,0.319,0.453,0.587,0.523,55
10872,0.406,0.532,0.377,0.437,0.52,0.455,14
10873,0.406,0.391,0.48,0.554,0.518,0.513,14
10874,0.406,0.387,0.713,0.571,0.418,0.482,24
10875,0.406,0.178,0.58,0.541,0.351,0.273,41
10876,0.406,0.343,0.741,0.641,0.486,0.414,24
10877,0.406,0.451,0.406,0.413,0.684,0.553,5
10878,0.406,0.393,0.531,0.537,0.362,0.408,24
10879,0.406,0.334,0.636,0.545,0.446,0.452,24
10880,0.406,0.393,0.546,0.511,0.604,0.51,25
10881,0.406,0.365,0.51,0.65,0.516,0.447,24
10882,0.406,0.484,0.47,0.516,0.42,0.461,50
10883,0.406,0.417,0.574,0.467,0.371,0.431,50
10884,0.406,0.432,0.531,0.564,0.493,0.438,14
10885,0.406,0.468,0.545,0.397,0.468,0.39,50
10886,0.406,0.55,0.47,0.481,0.546,0.599,14
10887,0.406,0.25,0.646,0.734,0.4,0.484,24
10888,0.406,0.362,0.689,0.528,0.338,0.414,24
10889,0.406,0.452,0.561,0.416,0.462,0.498,50
10890,0.406,0.373,0.508,0.605,0.492,0.502,25
10891,0.406,0.447,0.341,0.534,0.505,0.429,50
10892,0.407,0.518,0.563,0.574,0.536,0.552,14
10893,0.407,0.475,0.546,0.632,0.518,0.522,14
10894,0.407,0.293,0.119,0.501,0.608,0.483,5
10895,0.407,0.473,0.568,0.674,0.38,0.468,24
10896,0.407,0.476,0.518,0.388,0.274,0.356,28
10897,0.407,0.446,0.712,0.464,0.541,0.603,14
10898,0.407,0.352,0.348,0.404,0.433,0.417,50
10899,0.407,0.421,0.699,0.625,0.511,0.422,60
10900,0.407,0.418,0.721,0.451,0.375,0.347,49
10901,0.407,0.474,0.489,0.503,0.539,0.567,14
10902,0.407,0.521,0.488,0.48,0.463,0.458,14
10903,0.407,0.379,0.699,0.663,0.587,0.549,25
10904,0.407,0.433,0.818,0.798,0.495,0.459,60
10905,0.407,0.403,0.544,0.506,0.529,0.518,14
10906,0.407,0.352,0.365,0.447,0.592,0.475,5
10907,0.407,0.584,0.424,0.531,0.516,0.549,14
10908,0.407,0.308,0.424,0.359,0.517,0.375,50
10909,0.407,0.387,0.573,0.546,0.566,0.533,25
10910,0.407,0.45,0.358,0.399,0.542,0.503,5
10911,0.407,0.414,0.501,0.499,0.475,0.395,50
10912,0.407,0.552,0.539,0.551,0.63,0.604,66
10913,0.407,0.747,0.253,0.428,0.902,0.562,63
10914,0.407,0.398,0.636,0.709,0.495,0.437,60
10915,0.407,0.439,0.401,0.576,0.504,0.369,50
10916,0.407,0.308,0.661,0.451,0.363,0.279,15
10917,0.407,0.492,0.681,0.589,0.506,0.578,14
10918,0.407,0.601,0.6,0.629,0.678,0.607,66
10919,0.407,0.467,0.533,0.597,0.568,0.494,14
10920,0.407,0.543,0.512,0.36,0.454,0.356,50
10921,0.407,0.353,0.546,0.556,0.405,0.282,15
10922,0.407,0.457,0.517,0.514,0.443,0.42,50
10923,0.407,0.388,0.557,0.559,0.547,0.758,62
10924,0.407,0.48,0.481,0.666,0.641,0.539,66
10925,0.407,0.37,0.751,0.608,0.393,0.326,49
10926,0.407,0.373,0.637,0.59,0.617,0.521,25
10927,0.407,0.349,0.535,0.428,0.53,0.506,14
10928,0.407,0.394,0.621,0.616,0.489,0.467,24
10929,0.407,0.387,0.598,0.51,0.481,0.464,24
10930,0.407,0.326,0.271,0.234,0.229,0.35,29
10931,0.407,0.367,0.58,0.547,0.418,0.409,24
10932,0.407,0.365,0.301,0.341,0.369,0.286,28
10933,0.407,0.516,0.602,0.469,0.462,0.563,14
10934,0.407,0.337,0.553,0.502,0.424,0.417,24
10935,0.407,0.368,0.431,0.412,0.425,0.322,28
10936,0.407,0.339,0.359,0.35,0.337,0.36,28
10937,0.407,0.485,0.654,0.676,0.537,0.602,60
10938,0.407,0.152,0.61,0.38,0.475,0.312,53
10939,0.407,0.367,0.393,0.318,0.297,0.508,28
10940,0.407,0.317,0.625,0.617,0.336,0.411,24
10941,0.407,0.46,0.58,0.486,0.41,0.395,50
10942,0.407,0.42,0.444,0.376,0.452,0.434,50
10943,0.407,0.369,0.543,0.37,0.428,0.46,50
10944,0.407,0.434,0.609,0.594,0.612,0.525,25
10945,0.407,0.46,0.547,0.572,0.447,0.47,14
10946,0.407,0.279,0.633,0.561,0.484,0.486,24
10947,0.407,0.37,0.599,0.599,0.592,0.556,25
10948,0.407,0.319,0.533,0.379,0.296,0.383,28
10949,0.407,0.429,0.445,0.312,0.333,0.366,28
10950,0.407,0.543,0.321,0.348,0.454,0.505,18
10951,0.407,0.41,0.65,0.479,0.48,0.457,24
10952,0.407,0.577,0.442,0.542,0.528,0.425,14
10953,0.407,0.474,0.542,0.606,0.455,0.483,14
10954,0.407,0.465,0.521,0.37,0.345,0.399,50
10955,0.407,0.52,0.572,0.466,0.432,0.529,14
10956,0.407,0.387,0.91,0.772,0.672,0.478,58
10957,0.407,0.384,0.486,0.455,0.37,0.374,50
10958,0.407,0.377,0.397,0.476,0.346,0.346,28
10959,0.407,0.325,0.535,0.614,0.481,0.457,24
10960,0.407,0.556,0.429,0.615,0.396,0.341,50
10961,0.407,0.488,0.406,0.474,0.528,0.57,14
10962,0.407,0.479,0.508,0.489,0.627,0.524,66
10963,0.407,0.396,0.527,0.515,0.488,0.388,24
10964,0.407,0.592,0.439,0.645,0.583,0.427,14
10965,0.407,0.335,0.376,0.386,0.372,0.357,28
10966,0.407,0.591,0.563,0.696,0.549,0.664,66
10967,0.407,0.555,0.505,0.553,0.617,0.633,66
10968,0.407,0.478,0.465,0.537,0.579,0.595,66
10969,0.407,0.359,0.543,0.52,0.387,0.344,15
10970,0.407,0.485,0.494,0.53,0.575,0.507,14
10971,0.407,0.351,0.403,0.556,0.386,0.39,50
10972,0.407,0.526,0.575,0.633,0.551,0.507,14
10973,0.407,0.56,0.505,0.515,0.345,0.376,50
10974,0.407,0.371,0.637,0.534,0.368,0.396,24
10975,0.407,0.586,0.659,0.749,0.686,0.38,33
10976,0.407,0.419,0.479,0.614,0.623,0.546,66
10977,0.407,0.363,0.299,0.387,0.376,0.374,28
10978,0.407,0.37,0.663,0.407,0.509,0.492,14
10979,0.407,0.369,0.668,0.617,0.365,0.386,24
10980,0.407,0.559,0.464,0.559,0.534,0.519,14
10981,0.407,0.396,0.596,0.577,0.505,0.483,14
10982,0.407,0.409,0.447,0.413,0.422,0.448,50
10983,0.407,0.397,0.479,0.537,0.522,0.496,14
10984,0.407,0.307,0.397,0.354,0.297,0.354,28
10985,0.407,0.394,0.549,0.579,0.489,0.481,24
10986,0.407,0.405,0.571,0.491,0.439,0.514,50
10987,0.407,0.337,0.444,0.552,0.442,0.54,50
10988,0.407,0.459,0.599,0.691,0.535,0.487,60
10989,0.407,0.459,0.753,0.63,0.489,0.467,60
10990,0.407,0.386,0.54,0.547,0.547,0.51,25
10991,0.407,0.398,0.361,0.424,0.388,0.38,28
10992,0.407,0.423,0.495,0.643,0.649,0.566,66
10993,0.407,0.397,0.52,0.573,0.555,0.511,25
10994,0.407,0.283,0.814,0.424,0.266,0.349,67
10995,0.407,0.307,0.548,0.476,0.303,0.341,15
10996,0.407,0.503,0.272,0.338,0.282,0.284,28
10997,0.407,0.402,0.538,0.416,0.387,0.494,50
10998,0.408,0.464,0.648,0.58,0.477,0.482,14
10999,0.408,0.397,0.485,0.482,0.448,0.45,50
11000,0.408,0.282,0.548,0.547,0.451,0.407,24
11001,0.408,0.38,0.592,0.569,0.5,0.434,24
11002,0.408,0.52,0.559,0.604,0.599,0.545,66
11003,0.408,0.219,0.49,0.351,0.161,0.19,4
11004,0.408,0.434,0.486,0.552,0.442,0.456,50
11005,0.408,0.328,0.515,0.49,0.401,0.305,15
11006,0.408,0.616,0.411,0.397,0.415,0.369,50
11007,0.408,0.338,0.36,0.371,0.357,0.397,28
11008,0.408,0.396,0.538,0.471,0.436,0.465,50
11009,0.408,0.396,0.603,0.561,0.565,0.481,25
11010,0.408,0.416,0.657,0.526,0.454,0.393,24
11011,0.408,0.44,0.522,0.622,0.519,0.555,14
11012,0.408,0.385,0.557,0.43,0.383,0.362,50
11013,0.408,0.47,0.652,0.673,0.477,0.421,60
11014,0.408,0.423,0.294,0.341,0.291,0.442,28
11015,0.408,0.354,0.673,0.682,0.692,0.256,43
11016,0.408,0.322,0.523,0.577,0.371,0.549,24
11017,0.408,0.404,0.527,0.638,0.492,0.53,25
11018,0.408,0.464,0.481,0.543,0.512,0.49,14
11019,0.408,0.397,0.702,0.454,0.165,0.224,39
11020,0.408,0.475,0.462,0.589,0.468,0.475,14
11021,0.408,0.349,0.602,0.601,0.438,0.347,24
11022,0.408,0.354,0.549,0.45,0.481,0.516,50
11023,0.408,0.264,0.656,0.713,0.382,0.608,40
11024,0.408,0.159,0.236,0.357,0.331,0.278,29
11025,0.408,0.397,0.631,0.549,0.483,0.475,24
11026,0.408,0.328,0.431,0.383,0.441,0.414,50
11027,0.408,0.365,0.46,0.548,0.37,0.339,15
11028,0.408,0.32,0.534,0.452,0.319,0.262,15
11029,0.408,0.404,0.458,0.524,0.575,0.532,14
11030,0.408,0.416,0.277,0.129,0.103,0.216,9
11031,0.408,0.554,0.745,0.641,0.523,0.509,60
11032,0.408,0.447,0.598,0.596,0.573,0.559,25
11033,0.408,0.496,0.585,0.446,0.412,0.36,50
11034,0.408,0.487,0.688,0.746,0.506,0.422,60
11035,0.408,0.58,0.7,0.632,0.473,0.47,60
11036,0.408,0.531,0.611,0.575,0.571,0.72,66
11037,0.408,0.331,0.276,0.845,0.788,0.69,48
11038,0.408,0.391,0.152,0.583,0.769,0.623,3
11039,0.408,0.392,0.381,0.476,0.346,0.296,28
11040,0.408,0.587,0.709,0.535,0.517,0.444,14
11041,0.408,0.213,0.295,0.264,0.216,0.173,29
11042,0.408,0.51,0.507,0.481,0.563,0.561,14
11043,0.408,0.338,0.541,0.413,0.461,0.487,50
11044,0.408,0.341,0.796,0.511,0.313,0.269,49
11045,0.408,0.34,0.262,0.362,0.32,0.36,28
11046,0.408,0.355,0.874,0.77,0.564,0.419,60
11047,0.408,0.506,0.35,0.348,0.389,0.38,28
11048,0.408,0.526,0.659,0.615,0.583,0.493,60
11049,0.408,0.395,0.434,0.547,0.475,0.41,50
11050,0.408,0.412,0.792,0.607,0.547,0.431,60
11051,0.408,0.326,0.414,0.412,0.34,0.303,28
11052,0.408,0.28,0.247,0.262,0.267,0.318,29
11053,0.408,0.63,0.615,0.624,0.544,0.465,14
11054,0.408,0.325,0.59,0.576,0.54,0.513,25
11055,0.408,0.348,0.532,0.563,0.355,0.379,15
11056,0.408,0.554,0.441,0.454,0.458,0.477,14
11057,0.408,0.484,0.881,0.676,0.417,0.383,71
11058,0.408,0.465,0.559,0.52,0.502,0.485,14
11059,0.408,0.294,0.605,0.566,0.506,0.356,24
11060,0.408,0.328,0.415,0.531,0.363,0.376,15
11061,0.408,0.483,0.516,0.613,0.594,0.587,66
11062,0.408,0.41,0.625,0.569,0.486,0.428,24
11063,0.408,0.545,0.651,0.624,0.561,0.403,60
11064,0.408,0.483,0.407,0.377,0.422,0.506,50
11065,0.408,0.364,0.43,0.535,0.435,0.448,50
11066,0.408,0.368,0.543,0.67,0.568,0.483,25
11067,0.408,0.384,0.381,0.636,0.487,0.422,24
11068,0.408,0.267,0.36,0.335,0.23,0.245,29
11069,0.408,0.587,0.495,0.59,0.475,0.389,14
11070,0.408,0.527,0.498,0.543,0.584,0.568,66
11071,0.408,0.254,0.38,0.417,0.298,0.287,29
11072,0.408,0.454,0.426,0.538,0.471,0.459,14
11073,0.408,0.257,0.417,0.667,0.478,0.437,24
11074,0.408,0.433,0.635,0.592,0.528,0.486,14
11075,0.408,0.372,0.596,0.5,0.461,0.378,24
11076,0.408,0.43,0.408,0.493,0.429,0.472,50
11077,0.408,0.447,0.411,0.623,0.697,0.65,66
11078,0.408,0.396,0.393,0.445,0.364,0.306,28
11079,0.408,0.417,0.446,0.533,0.517,0.55,14
11080,0.408,0.396,0.524,0.57,0.405,0.416,24
11081,0.408,0.351,0.764,0.624,0.501,0.558,25
11082,0.408,0.507,0.499,0.561,0.551,0.585,14
11083,0.408,0.459,0.436,0.51,0.469,0.553,14
11084,0.408,0.371,0.688,0.558,0.455,0.391,24
11085,0.408,0.724,0.551,0.639,0.804,0.836,72
11086,0.408,0.422,0.554,0.587,0.521,0.388,24
11087,0.408,0.579,0.417,0.739,0.463,0.361,14
11088,0.408,0.426,0.726,0.729,0.594,0.607,70
11089,0.408,0.37,0.577,0.475,0.415,0.382,24
11090,0.408,0.352,0.399,0.571,0.426,0.401,50
11091,0.408,0.41,0.357,0.443,0.48,0.477,50
11092,0.409,0.192,0.367,0.561,0.28,0.373,15
11093,0.409,0.527,0.71,0.69,0.375,0.367,49
11094,0.409,0.424,0.853,0.854,0.466,0.332,71
11095,0.409,0.386,0.551,0.544,0.601,0.612,25
11096,0.409,0.376,0.733,0.607,0.465,0.428,24
11097,0.409,0.451,0.603,0.566,0.551,0.554,14
11098,0.409,0.372,0.339,0.37,0.344,0.335,28
11099,0.409,0.289,0.63,0.566,0.5,0.309,24
11100,0.409,0.5,0.507,0.556,0.568,0.637,66
11101,0.409,0.361,0.48,0.59,0.543,0.414,24
11102,0.409,0.37,0.36,0.506,0.418,0.381,50
11103,0.409,0.416,0.48,0.534,0.369,0.378,50
11104,0.409,0.426,0.551,0.532,0.486,0.399,24
11105,0.409,0.41,0.54,0.64,0.437,0.397,24
11106,0.409,0.772,0.496,0.57,0.541,0.314,7
11107,0.409,0.66,0.458,0.649,0.55,0.526,47
11108,0.409,0.367,0.436,0.712,0.647,0.48,25
11109,0.409,0.321,0.618,0.587,0.434,0.296,24
11110,0.409,0.415,0.541,0.532,0.404,0.339,24
11111,0.409,0.38,0.439,0.429,0.392,0.38,50
11112,0.409,0.525,0.347,0.428,0.378,0.431,50
11113,0.409,0.623,0.469,0.704,0.663,0.425,33
11114,0.409,0.628,0.444,0.571,0.538,0.409,14
11115,0.409,0.464,0.352,0.581,0.679,0.655,66
11116,0.409,0.687,0.651,0.517,0.578,0.469,47
11117,0.409,0.513,0.575,0.501,0.406,0.501,14
11118,0.409,0.281,0.382,0.605,0.47,0.25,15
11119,0.409,0.359,0.275,0.379,0.361,0.412,28
11120,0.409,0.462,0.448,0.421,0.516,0.463,14
11121,0.409,0.648,0.426,0.557,0.421,0.177,37
11122,0.409,0.377,0.411,0.42,0.403,0.505,50
11123,0.409,0.356,0.595,0.572,0.447,0.397,24
11124,0.409,0.461,0.583,0.701,0.585,0.501,60
11125,0.409,0.36,0.628,0.61,0.502,0.529,25
11126,0.409,0.389,0.561,0.419,0.364,0.515,50
11127,0.409,0.416,0.485,0.385,0.386,0.434,50
11128,0.409,0.347,0.701,0.681,0.454,0.428,24
11129,0.409,0.373,0.656,0.616,0.342,0.384,24
11130,0.409,0.396,0.507,0.539,0.444,0.436,24
11131,0.409,0.428,0.518,0.488,0.442,0.37,50
11132,0.409,0.332,0.44,0.479,0.304,0.303,15
11133,0.409,0.725,0.495,0.468,0.545,0.625,55
11134,0.409,0.57,0.347,0.383,0.398,0.513,18
11135,0.409,0.431,0.304,0.609,0.624,0.703,66
11136,0.409,0.289,0.321,0.37,0.386,0.389,28
11137,0.409,0.457,0.506,0.522,0.522,0.516,14
11138,0.409,0.471,0.478,0.646,0.539,0.521,14
11139,0.409,0.437,0.555,0.563,0.513,0.498,14
11140,0.409,0.548,0.701,0.257,0.288,0.356,34
11141,0.409,0.395,0.465,0.455,0.534,0.399,50
11142,0.409,0.377,0.31,0.359,0.319,0.336,28
11143,0.409,0.187,0.584,0.433,0.387,0.4,15
11144,0.409,0.393,0.462,0.52,0.48,0.518,14
11145,0.409,0.293,0.782,0.628,0.44,0.413,24
11146,0.409,0.387,0.533,0.529,0.532,0.529,14
11147,0.409,0.408,0.539,0.579,0.369,0.334,24
11148,0.409,0.365,0.371,0.573,0.372,0.342,15
11149,0.409,0.501,0.449,0.498,0.385,0.351,50
11150,0.409,0.427,0.397,0.614,0.493,0.46,14
11151,0.409,0.46,0.447,0.47,0.544,0.443,14
11152,0.409,0.452,0.354,0.514,0.694,0.662,66
11153,0.409,0.39,0.629,0.542,0.462,0.378,24
11154,0.409,0.495,0.392,0.461,0.501,0.543,14
11155,0.409,0.533,0.683,0.64,0.558,0.408,60
11156,0.409,0.539,0.532,0.581,0.692,0.732,22
11157,0.409,0.501,0.209,0.345,0.544,0.532,5
11158,0.409,0.386,0.584,0.508,0.485,0.487,24
11159,0.409,0.497,0.587,0.478,0.453,0.455,14
11160,0.409,0.427,0.561,0.578,0.449,0.383,24
11161,0.409,0.452,0.448,0.531,0.581,0.474,14
11162,0.409,0.521,0.371,0.505,0.498,0.567,14
11163,0.409,0.349,0.384,0.431,0.439,0.402,50
11164,0.409,0.357,0.78,0.672,0.477,0.493,60
11165,0.409,0.423,0.624,0.475,0.387,0.433,50
11166,0.409,0.415,0.735,0.558,0.519,0.531,25
11167,0.409,0.523,0.632,0.733,0.665,0.53,70
11168,0.409,0.382,0.533,0.603,0.468,0.452,24
11169,0.409,0.415,0.605,0.511,0.398,0.423,24
11170,0.409,0.44,0.392,0.451,0.45,0.476,50
11171,0.409,0.388,0.484,0.524,0.397,0.434,50
11172,0.409,0.481,0.493,0.57,0.595,0.477,14
11173,0.409,0.256,0.394,0.436,0.439,0.293,15
11174,0.409,0.49,0.656,0.655,0.445,0.53,60
11175,0.409,0.371,0.336,0.293,0.346,0.355,28
11176,0.409,0.396,0.651,0.57,0.453,0.452,24
11177,0.409,0.419,0.544,0.624,0.556,0.369,24
11178,0.409,0.657,0.268,0.564,0.565,0.564,55
11179,0.409,0.333,0.517,0.426,0.298,0.308,15
11180,0.409,0.477,0.424,0.467,0.503,0.749,62
11181,0.41,0.384,0.805,0.617,0.453,0.441,24
11182,0.41,0.567,0.366,0.459,0.451,0.544,14
11183,0.41,0.352,0.635,0.541,0.434,0.412,24
11184,0.41,0.375,0.465,0.597,0.459,0.468,24
11185,0.41,0.425,0.497,0.913,0.75,0.689,22
11186,0.41,0.42,0.697,0.458,0.218,0.213,39
11187,0.41,0.453,0.774,0.631,0.463,0.483,60
11188,0.41,0.468,0.533,0.479,0.449,0.427,50
11189,0.41,0.243,0.574,0.66,0.383,0.491,24
11190,0.41,0.527,0.636,0.574,0.482,0.501,14
11191,0.41,0.627,0.648,0.533,0.666,0.561,66
11192,0.41,0.282,0.321,0.375,0.354,0.257,28
11193,0.41,0.273,0.344,0.335,0.465,0.463,50
11194,0.41,0.39,0.119,0.159,0.261,0.316,29
11195,0.41,0.81,0.674,0.582,0.353,0.268,65
11196,0.41,0.328,0.437,0.444,0.388,0.347,15
11197,0.41,0.438,0.454,0.48,0.423,0.432,50
11198,0.41,0.469,0.301,0.354,0.428,0.365,28
11199,0.41,0.66,0.492,0.441,0.537,0.553,55
11200,0.41,0.464,0.693,0.607,0.538,0.508,60
11201,0.41,0.535,0.522,0.688,0.677,0.675,66
11202,0.41,0.427,0.718,0.675,0.466,0.556,60
